id,studentId,creator,name,eidolon,year,class,rarity,lore,image,imageSource
048,CA-1247-E-01,a_i_k_o,雨木 クロエ,AΩ-03〈アズライト〉,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-01.webp,CA-1247-E-01-a_i_k_o.webp
049,CA-1247-E-02,とらむりん🐯,こはく,鈴,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-02.webp,CA-1247-E-02-とらむりん🐯.webp
050,CA-1247-E-03,とらむりん🐯,こむぎ,鈴,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-03.webp,CA-1247-E-03-とらむりん🐯.webp
051,CA-1247-E-05,mimincyu(みみんちゅ),白縫セレス,縫魂守ノア,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-05.webp,CA-1247-E-05-mimincyu(みみんちゅ).webp
052,CA-1247-E-06,XGUESS(リゲス)@AIリゲス教開祖,アンリース,タイム・イズ・クロック,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-06.webp,CA-1247-E-06-XGUESS(リゲス)@AIリゲス教開祖.webp
053,CA-1247-E-07,TAK(タック),クロノアール,カイゼルスヴァルト,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-07.webp,CA-1247-E-07-TAK(タック).webp
054,CA-1247-E-08,syunn（AIイラスト垢）,クゥオドル,未顕現,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-08.webp,CA-1247-E-08-syunn（AIイラスト垢）.webp
055,CA-1247-E-09,silver_hair_ROX,雷道 礼央,蒼雷の鬼神 轟天,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-09.webp,CA-1247-E-09-silver_hair_ROX.webp
056,CA-1247-E-10,三日月煉華-Renka-,Sascha Lichtner,Kristallheilung,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-10.webp,CA-1247-E-10-三日月煉華-Renka-.webp
057,CA-1247-E-11,ハチワレ,金子 悠真,パラン・ポレン,Year 1,Eldam,N,ログ断片未設定,/images/CA-1247-E-11.webp,CA-1247-E-11-ハチワレ.webp
058,CA-1247-E-12,おっさん(Ossan),黒錫 燐,スラッジ,Year 1,Eldam,SSR,ログ断片未設定,/images/CA-1247-E-12.webp,CA-1247-E-12-おっさん(Ossan).webp
059,CA-1247-N-02,monaka,ジェイ・マキナ,機械人形,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-02.webp,CA-1247-N-02-monaka.webp
060,CA-1247-N-04,てい:WS studio,シャフ,ツヨシ,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-04.webp,CA-1247-N-04-ていWS studio.webp
061,CA-1247-N-06,Chiffon_β (しふぉん),ミレイア・グラス,パララックス・モノクル,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-06.webp,CA-1247-N-06-Chiffon_β (しふぉん).webp
062,CA-1247-N-07,🦉モコモコ,エルナ・ストライト,スノーホワイト・アイリス,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-07.webp,CA-1247-N-07-🦉モコモコ.webp
063,CA-1247-N-11,おっさん(Ossan),ヤシ・ヒョロモ,ペン・ホアッゲ,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-11.webp,CA-1247-N-11-おっさん(Ossan).webp
064,CA-1247-N-12,天汐香弓@Moguchatコラボ中,アルベール・アラライ,硝子鈎,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-12.webp,CA-1247-N-12-天汐香弓@Moguchatコラボ中.webp
065,CA-1247-N-13,どいやさん,透海 ゆるり,アグア・クラル,Year 1,Novalt,SSR,ログ断片未設定,/images/CA-1247-N-13.webp,CA-1247-N-13-どいやさん.webp
066,CA-1247-N-14,ゆか,綾瀬 霧生,ヴェイル,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-14.webp,CA-1247-N-14-ゆか.webp
067,CA-1247-N-15,𝕋𝕒𝕔𝕔𝕚,阿部アサヒ,ザクロ,Year 1,Novalt,N,ログ断片未設定,/images/CA-1247-N-15.webp,CA-1247-N-15-𝕋𝕒𝕔𝕔𝕚.webp
068,CA-1247-P-01,芹澤椿（せりざわつばき）＠AI女子高生🎀,ニカ・クレスト,ラクン・イッヌ,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-01.webp,CA-1247-P-01-芹澤椿（せりざわつばき）＠AI女子高生🎀.webp
069,CA-1247-P-05,アメショのユキ,ベラトリックス,冥府の調べ,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-05.webp,CA-1247-P-05-アメショのユキ.webp
070,CA-1247-P-07,ハルAIart,アッシュ・エンペラー,クロウ エンジン,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-07.webp,CA-1247-P-07-ハルAIart.webp
071,CA-1247-P-08,Anko | 東京百鬼パレード,宵星 ネムリ,オルビス・グリント,Year 1,Profeil,SSR,ログ断片未設定,/images/CA-1247-P-08.webp,CA-1247-P-08-Anko  東京百鬼パレード.webp
072,CA-1247-P-10,たやちゅん（tayacyun）,アリア・ヴェルム,ノクス・レイン,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-10.webp,CA-1247-P-08-たやちゅん（tayacyun).webp
073,CA-1247-P-11,ことつき（fumikoto),叶芽 澪,プリズム・フラグメント,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-11.webp,CA-1247-P-11-ことつき（fumikoto).webp
074,CA-1247-P-13,G-con／AI絵師見習い,灰音 澪,第零楽章,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-13.webp,CA-1247-P-13-G-con／AI絵師見習い.webp
075,CA-1247-P-14,風紋工房,タキオン＝クロノメモワール,時空杖（錠）クロノメータ,Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-14.webp,CA-1247-P-14-風紋工房.webp
076,CA-1247-P-15,獏麒,竜丸カイト,千辺万戈(アピリ•エフェヴル),Year 1,Profeil,N,ログ断片未設定,/images/CA-1247-P-15.webp,CA-1247-P-15-獏麒.webp
077,CA-1247-S-02,AI育生計画,成金息子ドラン,成金仕様メイドロボ,Year 1,Speculato,SR,ログ断片未設定,/images/CA-1247-S-02.webp,CA-1247-S-02-AI育生計画.webp
078,CA-1247-S-03,Hiro@AIお絵描きの人,ヨツバ,コロ,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-03.webp,CA-1247-S-03-Hiro@AIお絵描きの人.webp
079,CA-1247-S-06,紡つむぎ🔰,レイカ,グリッチ・ヴォイド,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-06.webp,CA-1247-S-06-紡つむぎ🔰.webp
080,CA-1247-S-07,bunsekiki(AU-09),縫月 シノ,メルテ,Year 1,Speculato,SR,ログ断片未設定,/images/CA-1247-S-07.webp,CA-1247-S-07-bunsekiki(AU-09).webp
081,CA-1247-S-08,BlastBox AI Music,鴉羽 零,執事クロ,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-08.webp,CA-1247-S-08-BlastBox AI Music.webp
082,CA-1247-S-09,空想AI,黒葉 奇志,黒い仮面《クラブ・クラウン》,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-09.webp,CA-1247-S-09-空想AI.webp
083,CA-1247-S-11,サイユ。(Saiyu),宵霧 ゼン,クロノス,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-11.webp,CA-1247-S-11-サイユ。(Saiyu).webp
084,CA-1247-S-12,諭吉@AI,カイ・アーゼル,ヴァルク,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-12.webp,CA-1247-S-12-諭吉@AI.webp
085,CA-1247-S-13,ﾃｨｷちゃ,ティキちゃ,tiki,Year 1,Speculato,N,ログ断片未設定,/images/CA-1247-S-13.webp,CA-1247-S-13-ﾃｨｷちゃ.webp
086,CA-1247-V-01,Strix8,飾東スキッド,Quadrant Halo,Year 1,Valkein,R,ログ断片未設定,/images/CA-1247-V-01.webp,CA-1247-V-01-Strix8.webp
087,CA-1247-V-02,春永睦月 Harunaga Mutsuki,橘 焔,ヴォルカニクス,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-02.webp,CA-1247-V-02-春永睦月　Harunaga Mutsuki.webp
088,CA-1247-V-03,Iris（アイリス）,紫狂 ルクス,PRISMATIC NOISE,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-03.webp,CA-1247-V-03-Iris（アイリス）.webp
089,CA-1247-V-06,銀木犀@AI動画、イラスト毎日更新楽しむ,ミラ,シーヴァ,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-06.webp,CA-1247-V-06-銀木犀@AI動画、イラスト毎日更新楽しむ.webp
090,CA-1247-V-08,SCOTCHER【公式】,カイト,ドリドス,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-08.webp,CA-1247-V-08-SCOTCHER【公式】.webp
091,CA-1247-V-09,村上もけ #MadeWithAI,霧杜 傀,ミスター・グランド,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-09.webp,CA-1247-V-09-村上もけ #MadeWithAI.webp
092,CA-1247-V-10,studioあぽろん,ノクタリカ・フォン・ハッセル,ルナ,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-10.webp,CA-1247-V-10-studioあぽろん.webp
093,CA-1247-V-11,Hina,神代 凪,オブスキュラ,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-11.webp,CA-1247-V-11-Hina.webp
094,CA-1247-V-13,ルイズのしっぽ✨@AIアート,霧島 雫香,漆黒の霧月,Year 1,Valkein,N,ログ断片未設定,/images/CA-1247-V-13.webp,CA-1247-V-13-ルイズのしっぽ✨@AIアート1.webp
